step,avg_reward_raw,avg_ee_sum,avg_sum_se,avg_total_power,avg_tau0_selected,avg_r1,avg_r2,avg_K,avg_M,avg_sinr_mean_tx,avg_sinr_db_mean_tx,sinr_db_p10,sinr_db_p50,sinr_db_p90,sinr_db_min,sinr_db_max,avg_log2_mean_tx,avg_se_per_tx_user,avg_interference_mean,avg_noise_mult,avg_interf_mult,avg_gain_mult,curriculum_progress,avg_max_active_users,avg_random_pair_prob
8000,7.659540053942848,7.659540053942848,6.339645083725452,0.7929963869910436,0.10000000000000002,0.47942833295464515,0.48866123750805857,10.0,48.871,38.099787722539155,11.695415492534018,-10.149035453796387,9.630790710449219,20.0,-79.2702407836914,20.0,3.5220251625552774,3.169822541862726,4.1657354830718975e-10,15.728556379092879,2.9944799999999994,0.152346,0.00276,2.0,0.9862000000000001
16000,7.863159357996212,7.863159357996212,6.506097896546126,0.7939749198962217,0.10000000000000002,0.43156045651435854,0.5217626727223397,10.0,48.864,39.37205812323838,12.11753289048518,-10.964666366577148,9.699100494384766,20.0,-84.24019622802734,20.0,3.614498961627483,3.253048948273063,5.679560469456002e-10,15.728556379092879,2.9944799999999994,0.152346,0.00276,2.0,0.9862000000000001
24000,7.648117945262952,7.648117945262952,6.32564167623967,0.7916860977608681,0.10000000000000002,0.42742969185113905,0.5095338543951511,10.0,48.958,37.583488608798014,11.613007732566421,-10.915743827819824,9.545547485351562,20.0,-79.01263427734375,20.0,3.5142455030530693,3.162820838119835,4.402858554289374e-10,15.728556379092879,2.9944799999999994,0.152346,0.00276,2.0,0.9862000000000001
32000,7.753808775887686,7.753808775887686,6.429012208774686,0.795490147770944,0.10000000000000002,0.3994558045566082,0.5054454791247844,10.0,49.062,38.549893769048154,11.963028640215457,-11.136086463928223,9.724164009094238,20.0,-89.700439453125,20.0,3.5716735752746462,3.214506104387343,5.251939579694339e-10,15.728556379092879,2.9944799999999994,0.152346,0.00276,2.0,0.9862000000000001
40000,7.725383311557537,7.725383311557537,6.383984864264726,0.791986076651047,0.10000000000000002,0.41291309395432474,0.5009294836819171,10.0,48.94,37.65938269802183,11.756541961995827,-10.914566040039062,9.58964729309082,20.0,-85.24250030517578,20.0,3.546658378139138,3.191992432132363,2.947676596835698e-10,15.728556379092879,2.9944799999999994,0.152346,0.00276,2.0,0.9862000000000001
48000,7.748614292069172,7.748614292069172,6.405975957065821,0.7929857153981152,0.10000000000000002,0.4231200656592846,0.52529498270154,10.0,48.938,37.9584244992584,11.742983099742352,-10.681146621704102,9.877211570739746,20.0,-106.64092254638672,20.0,3.5588756603896616,3.2029879785329105,3.7906754608444783e-10,15.728556379092879,2.9944799999999994,0.152346,0.00276,2.0,0.9862000000000001
