step,avg_reward_raw,avg_reward_norm,avg_ee_sum,avg_sum_se,avg_total_power,avg_tau0_selected,avg_r1,avg_r2,avg_K,avg_M,avg_sinr_mean_tx,avg_sinr_db_mean_tx,sinr_db_p10,sinr_db_p50,sinr_db_p90,sinr_db_min,sinr_db_max,avg_log2_mean_tx,avg_se_per_tx_user,avg_interference_mean
128000,9.477255391955376,0.47386276959776874,9.477255391955376,9.842251910448073,1.1117035150527954,0.15471528470516205,0.5783397167026997,0.6506646995544434,6.0,0.0,5691.564763986111,23.800853943105626,-15.340065002441406,14.935392379760742,30.5855712890625,-112.2371597290039,71.16130065917969,3.810515889048576,3.2216491293509804,6.041592742105042e-10
136000,8.038161271542311,0.4019080635771155,8.038161271542311,9.224930116176605,1.3762277364730835,0.21069787442684174,0.41481468197703364,0.544861461520195,6.0,0.0,5060.720618113518,24.092073947939717,-16.438974380493164,15.14592170715332,30.940780639648438,-114.19230651855469,69.2065658569336,3.8318839679956436,3.0217689760526016,4.648962967796723e-10
144000,9.610037808418275,0.4805018904209137,9.610037808418275,9.836163172602653,1.121971845626831,0.1569671332836151,0.6376217837929725,0.46449945092201234,6.0,0.0,15482.407104544758,24.329546693310945,-16.024396896362305,14.781946182250977,31.415807723999023,-116.89742279052734,71.61749267578125,3.8015170375108718,3.20208108262221,4.808243738213033e-10
152000,10.264379306674003,0.5132189653337003,10.264379306674003,9.924771113157272,1.031496524810791,0.1389521211385727,0.6146168346107006,0.6900393954813481,6.0,0.0,9860.553644941807,24.01878975870411,-16.362260818481445,14.963827133178711,31.12928009033203,-119.69575500488281,72.87922668457031,3.7660079205036165,3.2422075544595717,5.479041712759568e-10
160000,10.219008734166621,0.5109504367083312,10.219008734166621,10.019070934057236,1.0377658605575562,0.1392243355512619,0.5032924158275127,0.6619086021184921,6.0,0.0,10423.166147807837,25.067629905305434,-15.948034286499023,14.764327049255371,31.280391693115234,-119.94036865234375,74.56163024902344,3.82378311085701,3.2903233613967897,6.711075240628642e-10
168000,9.904903089642525,0.4952451544821263,9.904903089642525,9.97350261592865,1.0671429634094238,0.1463257372379303,0.46542700016498567,0.6357054608762265,6.0,0.0,9309.478891011953,25.181783732516042,-16.470500946044922,15.028389930725098,31.26209259033203,-118.6171875,71.2326889038086,3.8154105882644656,3.2582682796120643,6.068183307802419e-10
176000,10.863125288009643,0.5431562644004821,10.863125288009643,10.072002884864807,0.9433100819587708,0.12081852555274963,0.4003991376757622,0.705846559792757,6.0,0.0,20139.964945165157,23.708981165611796,-16.298641204833984,14.605367660522461,30.782756805419922,-119.73249816894531,75.04362487792969,3.747782447576523,3.2955021681785586,5.007586363122369e-10
184000,11.428523240566253,0.5714261620283126,11.428523240566253,10.31670471072197,0.9064452648162842,0.1112908199429512,0.6220934561789035,0.5501252777576446,6.0,0.0,7201.488979298591,24.01747688869125,-16.446043014526367,14.640851974487305,31.06773567199707,-119.65653228759766,74.47103118896484,3.810823061823845,3.38700096821785,5.253359846458999e-10
192000,11.819276795387267,0.5909638397693634,11.819276795387267,10.46522005558014,0.8845523595809937,0.10659778118133545,0.5338740154802799,0.3172092351913452,6.0,0.0,3752.179844687939,23.64599649399557,-16.11136245727539,14.7709379196167,30.547863006591797,-118.1001205444336,73.19224548339844,3.8066096271276475,3.40098006717364,4.701846828826891e-10
200000,12.026182696819305,0.6013091348409653,12.026182696819305,10.57897191977501,0.8785938620567322,0.1048809066414833,0.3497962502539158,0.481958499789238,6.0,0.0,17434.57613284445,23.905155962227074,-16.992080688476562,14.551322937011719,30.77887535095215,-119.98966979980469,71.87523651123047,3.826952873468399,3.4255081604719164,5.813620435831624e-10
208000,11.811268946170808,0.5905634473085404,11.811268946170808,10.332590365171432,0.8721556663513184,0.1040743887424469,0.5935941681861877,0.45092753940820696,6.0,0.0,9338.021069446564,23.64061641160416,-16.10820960998535,14.502588272094727,30.789249420166016,-110.5818862915039,71.30451965332031,3.774226933479309,3.381274040222168,5.458515452763826e-10
216000,12.035331015110016,0.6017665507555007,12.035331015110016,10.43459389424324,0.8651960492134094,0.10358720272779465,0.5744656860530376,0.41734564474225044,6.0,0.0,20676.111684862615,24.61180950170444,-17.460105895996094,14.821342468261719,30.956218719482422,-117.44029235839844,73.78279113769531,3.784315048098564,3.3924251383543016,5.913053621880044e-10
