n_wd,ee_mean_sac,ee_std_sac
20,8.417089597487424,2.814611334639413
40,8.120896494274188,2.78331591791328
60,8.102299184218795,2.564563979726988
80,8.149963593708595,2.396677329794382
100,7.973313593656607,2.3723230796151356
120,7.892498583986714,2.325946497151599
140,7.893118012799174,2.35259204032786
160,7.788899377258513,2.319051765150619
180,7.845646875967779,2.4060610704122363
200,7.778438662962605,2.31670231596404
