step,avg_reward_raw,avg_ee_sum,avg_sum_se,avg_total_power,avg_tau0_selected,avg_r1,avg_r2,avg_K,avg_M,avg_sinr_mean_tx,avg_sinr_db_mean_tx,avg_log2_mean_tx,avg_se_per_tx_user,avg_interference_mean,avg_total_power,avg_noise_mult,avg_interf_mult,avg_gain_mult,curriculum_progress,avg_max_active_users,avg_random_pair_prob
8000,8.287777302718876,8.287777302718876,6.788428984912112,0.7902684604939252,0.10000000000000002,0.34640223094820977,0.2994403494894505,10.0,48.928,42.419165141902866,13.284877336011988,3.7713495852709746,3.394214492456056,4.5201581946539673e-10,0.7902684604939252,15.728556379092879,1.99724,0.25207,0.00276,2.0,0.9862000000000001
16000,8.176975202557214,8.176975202557214,6.706344369104132,0.7920423234157135,0.10000000000000002,0.3979549434185028,0.2807677140533924,10.0,49.08,40.6342864848068,13.108495167382676,3.7257469991715624,3.353172184552066,4.90801694886968e-10,0.7920423234157135,15.728556379092879,1.99724,0.25207,0.00276,2.0,0.9862000000000001
24000,8.332204582400704,8.332204582400704,6.844761003404856,0.7911741559933358,0.10000000000000002,0.3468669460117817,0.2761878261864185,10.0,49.084,42.80630224695802,13.200820935234763,3.8026451376229526,3.422380501702428,5.296034378326449e-10,0.7911741559933358,15.728556379092879,1.99724,0.25207,0.00276,2.0,0.9862000000000001
32000,8.29447289608742,8.29447289608742,6.7801274527966084,0.7895721593849748,0.10000000000000002,0.3816450405418873,0.2732560848891735,10.0,49.362,41.483100087552366,13.272182972181994,3.766737611070226,3.3900637263983042,4.869341570360062e-10,0.7895721593849748,15.728556379092879,1.99724,0.25207,0.00276,2.0,0.9862000000000001
40000,8.036189036580161,8.036189036580161,6.550038460195065,0.7865632154205128,0.10000000000000002,0.4003728373348713,0.2739081979393959,10.0,49.036,39.586684582993385,12.941723396583157,3.638910373792052,3.2750192300975325,5.872688217271876e-10,0.7865632154205128,15.728556379092879,1.99724,0.25207,0.00276,2.0,0.9862000000000001
48000,8.431125205796947,8.431125205796947,6.89387846544385,0.790568574597726,0.10000000000000002,0.3356539213359356,0.27513183814287184,10.0,49.091,43.186295737102625,13.615178980442984,3.829932625234127,3.446939232721925,5.204795390980622e-10,0.790568574597726,15.728556379092879,1.99724,0.25207,0.00276,2.0,0.9862000000000001
